"S.N","Scrip","Current Balance","Previous Closing Price","Value as of Previous Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","UPPER","30.0","189.6","5688.00","190.8","5724.00"
"Total :"," "," "," ","5688.00"," ","5724.00"
